question_id,setting,gold_answer,final_prediction,auto_semantic_correct,auto_format_compliant,auto_answer_reason_consistent,auto_judge_consistent,manual_semantic_correct,manual_format_compliant,manual_answer_reason_consistent,manual_judge_consistent,auto_vs_manual_agreement,notes
1,single_full_information,42,Julie should read 42 pages tomorrow.,True,False,True,True,,,,,,
1,single_full_information,42,Julie should read 42 pages tomorrow.,True,False,True,True,,,,,,
1,single_full_information,42,Julie should read 42 pages tomorrow.,True,False,True,True,,,,,,
1,frozen_transcript_AB,42,36,False,True,True,False,,,,,,
1,frozen_transcript_AB,42,36,False,True,True,False,,,,,,
1,frozen_transcript_AB,42,36,False,True,True,False,,,,,,
1,frozen_transcript_BA,42,60,False,True,False,False,,,,,,
1,frozen_transcript_BA,42,60,False,True,False,False,,,,,,
1,frozen_transcript_BA,42,60,False,True,False,False,,,,,,
1,canonical_order,42,36,False,True,True,True,,,,,,
1,canonical_order,42,36,False,True,True,True,,,,,,
1,canonical_order,42,36,False,True,True,True,,,,,,
1,format_self_check_before_commit,42,,False,False,False,False,,,,,,
1,format_self_check_before_commit,42,,False,False,False,False,,,,,,
1,format_self_check_before_commit,42,,False,False,False,False,,,,,,
1,all_at_start_AB,42,42,True,True,True,True,,,,,,
1,all_at_start_AB,42,42,True,True,True,True,,,,,,
1,all_at_start_AB,42,42,True,True,True,True,,,,,,
1,all_at_start_BA,42,,False,False,False,True,,,,,,
1,all_at_start_BA,42,,False,False,False,True,,,,,,
1,all_at_start_BA,42,,False,False,False,True,,,,,,
1,after_round1,42,,False,False,False,True,,,,,,
1,after_round1,42,,False,False,False,True,,,,,,
1,after_round1,42,,False,False,False,True,,,,,,
1,before_final_transcript,42,36,False,True,False,False,,,,,,
1,before_final_transcript,42,36,False,True,False,False,,,,,,
1,before_final_transcript,42,36,False,True,False,False,,,,,,
1,before_final_reset,42,36,False,True,True,False,,,,,,
1,before_final_reset,42,36,False,True,True,False,,,,,,
1,before_final_reset,42,36,False,True,True,False,,,,,,
1,after_round1_BA,42,60,False,True,False,True,,,,,,
1,after_round1_BA,42,60,False,True,False,True,,,,,,
1,after_round1_BA,42,60,False,True,False,True,,,,,,
1,before_final_transcript_BA,42,60,False,True,False,False,,,,,,
1,before_final_transcript_BA,42,60,False,True,False,False,,,,,,
1,before_final_transcript_BA,42,60,False,True,False,False,,,,,,
2,single_full_information,5,** Betty still needs 5 more dollars to buy the wallet.,True,False,True,True,,,,,,
2,single_full_information,5,** Betty still needs 5 more dollars to buy the wallet.,True,False,True,True,,,,,,
2,single_full_information,5,** Betty still needs 5 more dollars to buy the wallet.,True,False,True,True,,,,,,
2,frozen_transcript_AB,5,35,False,True,False,True,,,,,,
2,frozen_transcript_AB,5,35,False,True,False,True,,,,,,
2,frozen_transcript_AB,5,35,False,True,False,True,,,,,,
2,frozen_transcript_BA,5,30,False,True,True,False,,,,,,
2,frozen_transcript_BA,5,30,False,True,True,False,,,,,,
2,frozen_transcript_BA,5,30,False,True,True,False,,,,,,
2,canonical_order,5,30,False,False,True,True,,,,,,
2,canonical_order,5,30,False,False,True,True,,,,,,
2,canonical_order,5,30,False,False,True,True,,,,,,
2,format_self_check_before_commit,5,45,False,True,False,True,,,,,,
2,format_self_check_before_commit,5,45,False,True,False,True,,,,,,
2,format_self_check_before_commit,5,45,False,True,False,True,,,,,,
2,all_at_start_AB,5,5,True,True,True,False,,,,,,
2,all_at_start_AB,5,5,True,True,True,False,,,,,,
2,all_at_start_AB,5,5,True,True,True,False,,,,,,
2,all_at_start_BA,5,50,False,True,True,False,,,,,,
2,all_at_start_BA,5,50,False,True,True,False,,,,,,
2,all_at_start_BA,5,50,False,True,True,False,,,,,,
2,after_round1,5,35,False,True,False,False,,,,,,
2,after_round1,5,35,False,True,False,False,,,,,,
2,after_round1,5,35,False,True,False,False,,,,,,
2,before_final_transcript,5,35,False,True,False,True,,,,,,
2,before_final_transcript,5,35,False,True,False,True,,,,,,
2,before_final_transcript,5,35,False,True,False,True,,,,,,
2,before_final_reset,5,20,False,True,False,True,,,,,,
2,before_final_reset,5,20,False,True,False,True,,,,,,
2,before_final_reset,5,20,False,True,False,True,,,,,,
2,after_round1_BA,5,30,False,True,True,False,,,,,,
2,after_round1_BA,5,30,False,True,True,False,,,,,,
2,after_round1_BA,5,30,False,True,True,False,,,,,,
2,before_final_transcript_BA,5,30,False,True,True,False,,,,,,
2,before_final_transcript_BA,5,30,False,True,True,False,,,,,,
2,before_final_transcript_BA,5,30,False,True,True,False,,,,,,
3,single_full_information,16,16,True,False,True,True,,,,,,
3,single_full_information,16,16,True,False,True,True,,,,,,
3,single_full_information,16,16,True,False,True,True,,,,,,
3,frozen_transcript_AB,16,6,False,False,True,False,,,,,,
3,frozen_transcript_AB,16,6,False,False,True,False,,,,,,
3,frozen_transcript_AB,16,6,False,False,True,False,,,,,,
3,frozen_transcript_BA,16,,False,False,False,True,,,,,,
3,frozen_transcript_BA,16,,False,False,False,True,,,,,,
3,frozen_transcript_BA,16,,False,False,False,True,,,,,,
3,canonical_order,16,8,False,True,True,False,,,,,,
3,canonical_order,16,8,False,True,True,False,,,,,,
3,canonical_order,16,8,False,True,True,False,,,,,,
3,format_self_check_before_commit,16,,False,False,False,True,,,,,,
3,format_self_check_before_commit,16,,False,False,False,True,,,,,,
3,format_self_check_before_commit,16,,False,False,False,True,,,,,,
3,all_at_start_AB,16,16,True,True,True,False,,,,,,
3,all_at_start_AB,16,16,True,True,True,False,,,,,,
3,all_at_start_AB,16,16,True,True,True,False,,,,,,
3,all_at_start_BA,16,,False,False,False,True,,,,,,
3,all_at_start_BA,16,,False,False,False,True,,,,,,
3,all_at_start_BA,16,,False,False,False,True,,,,,,
3,after_round1,16,6,False,True,False,False,,,,,,
3,after_round1,16,6,False,True,False,False,,,,,,
3,after_round1,16,6,False,True,False,False,,,,,,
3,before_final_transcript,16,,False,False,False,True,,,,,,
3,before_final_transcript,16,,False,False,False,True,,,,,,
3,before_final_transcript,16,,False,False,False,True,,,,,,
3,before_final_reset,16,10,False,True,True,False,,,,,,
3,before_final_reset,16,10,False,True,True,False,,,,,,
3,before_final_reset,16,10,False,True,True,False,,,,,,
3,after_round1_BA,16,,False,False,False,False,,,,,,
3,after_round1_BA,16,,False,False,False,False,,,,,,
3,after_round1_BA,16,,False,False,False,False,,,,,,
3,before_final_transcript_BA,16,,False,False,False,True,,,,,,
3,before_final_transcript_BA,16,,False,False,False,True,,,,,,
3,before_final_transcript_BA,16,,False,False,False,True,,,,,,
4,single_full_information,41,Alexis paid $31 for the shoes.,False,False,True,True,,,,,,
4,single_full_information,41,Alexis paid $31 for the shoes.,False,False,True,True,,,,,,
4,single_full_information,41,Alexis paid $31 for the shoes.,False,False,True,True,,,,,,
4,frozen_transcript_AB,41,57,False,True,False,False,,,,,,
4,frozen_transcript_AB,41,57,False,True,False,False,,,,,,
4,frozen_transcript_AB,41,57,False,True,False,False,,,,,,
4,frozen_transcript_BA,41,,False,False,False,False,,,,,,
4,frozen_transcript_BA,41,,False,False,False,False,,,,,,
4,frozen_transcript_BA,41,,False,False,False,False,,,,,,
4,format_self_check_before_commit,41,,False,False,False,False,,,,,,
4,format_self_check_before_commit,41,,False,False,False,False,,,,,,
4,format_self_check_before_commit,41,,False,False,False,False,,,,,,
4,all_at_start_BA,41,41,True,True,True,False,,,,,,
4,all_at_start_BA,41,41,True,True,True,False,,,,,,
4,all_at_start_BA,41,41,True,True,True,False,,,,,,
4,after_round1,41,,False,False,False,False,,,,,,
4,after_round1,41,,False,False,False,False,,,,,,
4,after_round1,41,,False,False,False,False,,,,,,
4,before_final_transcript,41,,False,False,False,False,,,,,,
4,before_final_transcript,41,,False,False,False,False,,,,,,
4,before_final_transcript,41,,False,False,False,False,,,,,,
4,before_final_reset,41,57,False,True,True,False,,,,,,
4,before_final_reset,41,57,False,True,True,False,,,,,,
4,before_final_reset,41,57,False,True,True,False,,,,,,
4,after_round1_BA,41,,False,False,False,True,,,,,,
4,after_round1_BA,41,,False,False,False,True,,,,,,
4,after_round1_BA,41,,False,False,False,True,,,,,,
4,before_final_transcript_BA,41,,False,False,False,False,,,,,,
4,before_final_transcript_BA,41,,False,False,False,False,,,,,,
4,before_final_transcript_BA,41,,False,False,False,False,,,,,,
5,single_full_information,38,** Bella buys a total of 38 stamps.,True,False,True,True,,,,,,
5,single_full_information,38,** Bella buys a total of 38 stamps.,True,False,True,True,,,,,,
5,single_full_information,38,** Bella buys a total of 38 stamps.,True,False,True,True,,,,,,
5,frozen_transcript_AB,38,23,False,True,True,True,,,,,,
5,frozen_transcript_AB,38,23,False,True,True,True,,,,,,
5,frozen_transcript_AB,38,23,False,True,True,True,,,,,,
5,frozen_transcript_BA,38,43,False,True,True,True,,,,,,
5,frozen_transcript_BA,38,43,False,True,True,True,,,,,,
5,frozen_transcript_BA,38,43,False,True,True,True,,,,,,
5,canonical_order,38,43,False,True,True,False,,,,,,
5,canonical_order,38,43,False,True,True,False,,,,,,
5,canonical_order,38,43,False,True,True,False,,,,,,
5,all_at_start_BA,38,38,True,True,True,False,,,,,,
5,all_at_start_BA,38,38,True,True,True,False,,,,,,
5,all_at_start_BA,38,38,True,True,True,False,,,,,,
5,after_round1,38,,False,False,False,False,,,,,,
5,after_round1,38,,False,False,False,False,,,,,,
5,after_round1,38,,False,False,False,False,,,,,,
5,before_final_transcript,38,,False,False,False,True,,,,,,
5,before_final_transcript,38,,False,False,False,True,,,,,,
5,before_final_transcript,38,,False,False,False,True,,,,,,
5,before_final_reset,38,20,False,True,False,False,,,,,,
5,before_final_reset,38,20,False,True,False,False,,,,,,
5,before_final_reset,38,20,False,True,False,False,,,,,,
5,after_round1_BA,38,,False,False,False,True,,,,,,
5,after_round1_BA,38,,False,False,False,True,,,,,,
5,after_round1_BA,38,,False,False,False,True,,,,,,
5,before_final_transcript_BA,38,43,False,True,True,True,,,,,,
5,before_final_transcript_BA,38,43,False,True,True,True,,,,,,
5,before_final_transcript_BA,38,43,False,True,True,True,,,,,,
6,single_full_information,5,Each top costs $5.,True,False,True,True,,,,,,
6,single_full_information,5,Each top costs $5.,True,False,True,True,,,,,,
6,single_full_information,5,Each top costs $5.,True,False,True,True,,,,,,
6,all_at_start_AB,5,,False,False,False,True,,,,,,
6,all_at_start_AB,5,,False,False,False,True,,,,,,
6,all_at_start_AB,5,,False,False,False,True,,,,,,
6,all_at_start_BA,5,,False,False,False,True,,,,,,
6,all_at_start_BA,5,,False,False,False,True,,,,,,
6,all_at_start_BA,5,,False,False,False,True,,,,,,
6,after_round1,5,,False,False,False,True,,,,,,
6,after_round1,5,,False,False,False,True,,,,,,
6,after_round1,5,,False,False,False,True,,,,,,
6,after_round1_BA,5,,False,False,False,True,,,,,,
6,after_round1_BA,5,,False,False,False,True,,,,,,
6,after_round1_BA,5,,False,False,False,True,,,,,,
6,before_final_transcript,5,,False,False,False,True,,,,,,
6,before_final_transcript,5,,False,False,False,True,,,,,,
6,before_final_transcript,5,,False,False,False,True,,,,,,
6,before_final_transcript_BA,5,,False,False,False,True,,,,,,
6,before_final_transcript_BA,5,,False,False,False,True,,,,,,
6,before_final_transcript_BA,5,,False,False,False,True,,,,,,
6,frozen_transcript_AB,5,,False,False,False,True,,,,,,
6,frozen_transcript_AB,5,,False,False,False,True,,,,,,
6,frozen_transcript_AB,5,,False,False,False,True,,,,,,
6,frozen_transcript_BA,5,,False,False,False,True,,,,,,
6,frozen_transcript_BA,5,,False,False,False,True,,,,,,
6,frozen_transcript_BA,5,,False,False,False,True,,,,,,
6,format_self_check_before_commit,5,,False,False,False,True,,,,,,
6,format_self_check_before_commit,5,,False,False,False,True,,,,,,
6,format_self_check_before_commit,5,,False,False,False,True,,,,,,
7,single_full_information,1200,1200,True,False,True,True,,,,,,
7,single_full_information,1200,1200,True,False,True,True,,,,,,
7,single_full_information,1200,1200,True,False,True,True,,,,,,
7,all_at_start_AB,1200,,False,False,False,True,,,,,,
7,all_at_start_AB,1200,,False,False,False,True,,,,,,
7,all_at_start_AB,1200,,False,False,False,True,,,,,,
7,all_at_start_BA,1200,,False,False,False,True,,,,,,
7,all_at_start_BA,1200,,False,False,False,True,,,,,,
7,all_at_start_BA,1200,,False,False,False,True,,,,,,
